,CarPrice,CarMileage,VIN,TimeStamp,Source,Make,Model,Year,Trim,ExteriorColorGeneral,InteriorColorGeneral,DrivetrainGeneral,FuelTypeGeneral,TransmissionGeneral,EngineSize,EngineConfiguration,Fuel System,Turbocharged,Hybrid,ZipLocation
363,26855.0,29721,JF2SKAGC3LH456509,2023-11-24 22:01:24.757276+00:00,Cars.com,SUBARU,Forester,2020,Prm Base+ES,Red,Gray,AWD,Gasoline,Automatic,2.5L,,GDI,0,0,01464
364,27487.0,33625,JF2SKAFCXMH404216,2023-11-24 22:01:12.156280+00:00,Cars.com,SUBARU,Forester,2021,Premium,Gray,Gray,AWD,Gasoline,Automatic,2.5L,,GDI,0,0,01464
365,8278.0,154205,5TDZT34A95S244916,2023-11-12 20:13:05.658228+00:00,Cars.com,TOYOTA,Sequoia,2005,SR5,Other,Other,RWD,Gasoline,Automatic,4.7L,V8,MPFI,0,0,
366,17995.0,54492,1FMJU1G57EEF35087,2023-11-24 22:07:35.864202+00:00,Cars.com,FORD,Expedition,2014,,White,Other,4WD,Flex Fuel,Automatic,5.4L,V8,,0,0,01464
367,21000.0,61319,JN8CS1MW1GM752275,2023-11-24 22:35:36.292646+00:00,Cars.com,INFINITI,QX70,2016,,White,Other,AWD,Gasoline,Automatic,3.7L,V6,MPFI,0,0,01237
368,3900.0,195929,2G1WF52E339207323,2023-11-12 17:42:45.964974+00:00,Cars.com,CHEVROLET,Impala,2003,,Gray,Other,FWD,Gasoline,Automatic,3.4L,V6,MPFI,0,0,
369,85991.0,6778,WA1AWBF13ND007002,2023-11-12 20:19:27.567366+00:00,Cars.com,AUDI,SQ8,2022,,Black,Black,AWD,Gasoline,Automatic,4.0L,V8,GDI,1,0,
370,119499.0,7353,WUA1CBF26NN904495,2023-11-12 16:55:24.081477+00:00,Cars.com,AUDI,RS6,2022,,Gray,Red,AWD,Gasoline,Automatic,4.0L,V8,GDI,1,0,
371,24771.0,94502,1HGCV3F97LA006934,2023-11-12 20:17:40.184079+00:00,Cars.com,HONDA,Accord,2020,,White,White,FWD,Hybrid,Automatic,2.0L,I4,MPFI,0,1,
372,33700.0,15107,1GCGSDEN1N1136708,2023-11-12 16:55:26.330421+00:00,Cars.com,CHEVROLET,Colorado,2022,Crew Cab/Utility,Black,Black,RWD,Gasoline,Automatic,3.6L,V6,GDI,0,0,
373,59995.0,10791,5UXCY6C01N9K28451,2023-11-12 20:18:18.757175+00:00,Cars.com,BMW,X6,2022,,Black,Other,AWD,Gasoline,Automatic,3.0L,I6,GDI,1,0,
374,13500.0,151867,JN8CS1MW6GM751350,2023-11-24 22:30:42.551935+00:00,Cars.com,INFINITI,QX70,2016,,Black,Gray,AWD,Gasoline,Automatic,3.7L,V6,,0,0,01237
